#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     2.0000000000E-01
   -4.0012732395E-02     0.0000000000E+00
    0.0000000000E+00    -8.0070028175E-03
    1.6025495119E-03     0.0000000000E+00
    0.0000000000E+00     3.2076613155E-04
   -6.4204531645E-05     0.0000000000E+00
    0.0000000000E+00    -1.2850058492E-05
    2.5713738204E-06     0.0000000000E+00
    0.0000000000E+00     5.1439804027E-07
   -1.0286168753E-07     0.0000000000E+00
    0.0000000000E+00    -2.0557256149E-08
    4.1054261355E-09     0.0000000000E+00
    0.0000000000E+00     8.1910709280E-10
   -1.6322917498E-10     0.0000000000E+00
    0.0000000000E+00    -3.2477626896E-11
    6.4493027177E-12     0.0000000000E+00
    0.0000000000E+00     1.2774284219E-12
   -2.5218797711E-13     0.0000000000E+00
    0.0000000000E+00    -4.9570215525E-14
    9.6868798593E-15     0.0000000000E+00
    0.0000000000E+00     1.8779387721E-15
   -3.6000591907E-16     0.0000000000E+00
    0.0000000000E+00    -6.7897746732E-17
    1.2491283415E-17     0.0000000000E+00
