#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00    -2.1223742357E-01
   -4.5344233037E-02     0.0000000000E+00
    0.0000000000E+00     9.7954890457E-03
    2.1551209902E-03     0.0000000000E+00
    0.0000000000E+00    -4.8954094877E-04
   -1.1764567610E-04     0.0000000000E+00
    0.0000000000E+00     3.1141644778E-05
    9.5683126166E-06     0.0000000000E+00
    0.0000000000E+00    -3.5607260402E-06
   -1.6111273117E-06     0.0000000000E+00
    0.0000000000E+00     8.5938277043E-07
    5.2001899369E-07     0.0000000000E+00
    0.0000000000E+00    -3.4739173925E-07
   -2.5201923350E-07     0.0000000000E+00
    0.0000000000E+00     1.9674555569E-07
    1.6423257414E-07     0.0000000000E+00
    0.0000000000E+00    -1.4595461656E-07
