#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00    -2.5645992357E-01
   -7.1051171116E-02     0.0000000000E+00
    0.0000000000E+00     2.1588989585E-02
    7.2857273850E-03     0.0000000000E+00
    0.0000000000E+00    -2.7553611381E-03
   -1.1715765436E-03     0.0000000000E+00
    0.0000000000E+00     5.5884133997E-04
    2.9720426964E-04     0.0000000000E+00
    0.0000000000E+00    -1.7483071283E-04
   -1.1283054516E-04     0.0000000000E+00
    0.0000000000E+00     7.9288287655E-05
    6.0266322264E-05     0.0000000000E+00
    0.0000000000E+00    -4.9262449843E-05
   -4.3087716794E-05     0.0000000000E+00
    0.0000000000E+00     4.0150008363E-05
    3.9704424037E-05     0.0000000000E+00
    0.0000000000E+00    -4.1527104920E-05
