#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00    -2.5694780681E-01
   -7.1524554033E-02     0.0000000000E+00
    0.0000000000E+00     2.1757671386E-02
    7.2998727084E-03     0.0000000000E+00
    0.0000000000E+00    -2.7210740426E-03
   -1.1312208734E-03     0.0000000000E+00
    0.0000000000E+00     5.2437129782E-04
    2.7003806222E-04     0.0000000000E+00
    0.0000000000E+00    -1.5359408604E-04
   -9.5844729239E-05     0.0000000000E+00
    0.0000000000E+00     6.5175650343E-05
    4.7995974680E-05     0.0000000000E+00
    0.0000000000E+00    -3.8060713281E-05
   -3.2339026033E-05     0.0000000000E+00
    0.0000000000E+00     2.9310991110E-05
    2.8228113102E-05     0.0000000000E+00
    0.0000000000E+00    -2.8784784447E-05
