#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     1.0000000000E-01
   -2.2732395447E-02     0.0000000000E+00
    0.0000000000E+00    -3.5464790895E-03
    1.0956374994E-03     0.0000000000E+00
    0.0000000000E+00     6.5592156019E-05
   -4.3205436984E-05     0.0000000000E+00
    0.0000000000E+00     7.3132436728E-05
   -2.2747042257E-05     0.0000000000E+00
    0.0000000000E+00    -6.3488059408E-05
    2.5843982936E-05     0.0000000000E+00
    0.0000000000E+00     6.3351199273E-05
   -2.9635030460E-05     0.0000000000E+00
    0.0000000000E+00    -8.4956777345E-05
    4.3446721280E-05     0.0000000000E+00
    0.0000000000E+00     1.5309913391E-04
   -8.2868993943E-05     0.0000000000E+00
