#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     1.0000000000E-01
   -2.4577753300E-02     0.0000000000E+00
    0.0000000000E+00    -5.3733259901E-03
    2.0570600533E-03     0.0000000000E+00
    0.0000000000E+00     6.9697496062E-04
   -4.0801539280E-04     0.0000000000E+00
    0.0000000000E+00    -1.9699782232E-04
    1.6650879429E-04     0.0000000000E+00
    0.0000000000E+00     1.0665112352E-04
   -1.2001381345E-04     0.0000000000E+00
    0.0000000000E+00    -9.5953397241E-05
    1.3463541621E-04     0.0000000000E+00
    0.0000000000E+00     1.2874808693E-04
   -2.1567896498E-04     0.0000000000E+00
    0.0000000000E+00    -2.3966098808E-04
    4.6575375844E-04     0.0000000000E+00
