#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     1.0000000000E-03
   -1.2733395447E-02     0.0000000000E+00
    0.0000000000E+00     1.2350413584E-03
    7.3597302762E-04     0.0000000000E+00
    0.0000000000E+00    -3.1121029631E-04
   -1.2448645340E-04     0.0000000000E+00
    0.0000000000E+00     1.1883236217E-04
    4.9479048025E-05     0.0000000000E+00
    0.0000000000E+00    -7.2853029876E-05
   -3.6391906369E-05     0.0000000000E+00
    0.0000000000E+00     6.8297793239E-05
    4.1967501010E-05     0.0000000000E+00
    0.0000000000E+00    -9.2282284300E-05
   -6.8931032690E-05     0.0000000000E+00
    0.0000000000E+00     1.7078543512E-04
    1.5202567886E-04     0.0000000000E+00
    0.0000000000E+00    -4.1564013707E-04
   -4.3248243773E-04     0.0000000000E+00
