#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     0.0000000000E+00
   -1.2732395447E+00     0.0000000000E+00
    0.0000000000E+00     1.2732395447E+00
    8.6831354490E+00     0.0000000000E+00
    0.0000000000E+00    -3.5309982554E+01
   -1.5264372737E+02     0.0000000000E+00
    0.0000000000E+00     1.4081346747E+03
    5.9404373427E+03     0.0000000000E+00
    0.0000000000E+00    -8.7726218856E+04
   -4.2600125833E+05     0.0000000000E+00
    0.0000000000E+00     8.2828481734E+06
    4.8244595056E+07     0.0000000000E+00
    0.0000000000E+00    -1.1240648335E+09
   -7.8285396649E+09     0.0000000000E+00
    0.0000000000E+00     2.0870146729E+11
    1.7123505488E+12     0.0000000000E+00
    0.0000000000E+00    -5.0919889401E+13
   -4.8429276783E+14     0.0000000000E+00
    0.0000000000E+00     1.5811139697E+16
    1.7176997653E+17     0.0000000000E+00
    0.0000000000E+00    -6.0899256197E+18
   -7.4615832772E+19     0.0000000000E+00
    0.0000000000E+00     2.8495515069E+21
    3.8950213721E+22     0.0000000000E+00
    0.0000000000E+00    -1.5921073711E+24
   -2.4054151425E+25     0.0000000000E+00
