#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     0.0000000000E+00
   -1.4577753300E+00     0.0000000000E+00
    0.0000000000E+00     0.0000000000E+00
    1.2281723882E+01     0.0000000000E+00
    0.0000000000E+00    -1.4210854715E-14
   -2.6368969425E+02     0.0000000000E+00
    0.0000000000E+00     3.6379788071E-12
    1.1492587869E+04     0.0000000000E+00
    0.0000000000E+00    -1.0913936421E-10
   -8.6157703168E+05     0.0000000000E+00
    0.0000000000E+00     1.4156103134E-07
    9.8761493388E+07     0.0000000000E+00
    0.0000000000E+00    -1.5355646610E-04
   -1.6014720895E+10     0.0000000000E+00
    0.0000000000E+00    -2.3321151733E-02
    3.4838016343E+12     0.0000000000E+00
    0.0000000000E+00     4.5000000000E+01
   -9.7837458340E+14     0.0000000000E+00
    0.0000000000E+00     4.5200000000E+04
    3.4447831391E+17     0.0000000000E+00
    0.0000000000E+00    -3.8608588800E+08
   -1.4858430206E+20     0.0000000000E+00
    0.0000000000E+00     2.5652348518E+11
    7.7050265450E+22     0.0000000000E+00
    0.0000000000E+00    -9.0652672126E+15
   -4.7292763533E+25     0.0000000000E+00
