#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     1.0000000000E-02
   -1.3732395447E-03     0.0000000000E+00
    0.0000000000E+00     1.2340423584E-03
   -1.9827430353E-05     0.0000000000E+00
    0.0000000000E+00    -1.6874413151E-04
   -9.6646788662E-06     0.0000000000E+00
    0.0000000000E+00     5.0242790328E-05
    8.4733882107E-06     0.0000000000E+00
    0.0000000000E+00    -2.8368957683E-05
   -8.3778936017E-06     0.0000000000E+00
    0.0000000000E+00     2.5937914079E-05
    1.1180672102E-05     0.0000000000E+00
    0.0000000000E+00    -3.4861724891E-05
   -1.9988755386E-05     0.0000000000E+00
    0.0000000000E+00     6.4628883785E-05
    4.6583210712E-05     0.0000000000E+00
    0.0000000000E+00    -1.5794050242E-04
   -1.3776701084E-04     0.0000000000E+00
    0.0000000000E+00     4.9180822534E-04
    5.0515022048E-04     0.0000000000E+00
    0.0000000000E+00    -1.9003896688E-03
   -2.2516129962E-03     0.0000000000E+00
    0.0000000000E+00     8.9212064880E-03
    1.1998363240E-02     0.0000000000E+00
    0.0000000000E+00    -5.0001930020E-02
   -7.5359674579E-02     0.0000000000E+00
