#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     1.0000000000E-01
   -1.1273239545E-02     0.0000000000E+00
    0.0000000000E+00    -1.3806986239E-03
    1.8100314159E-04     0.0000000000E+00
    0.0000000000E+00     2.5146364578E-05
   -3.6776073474E-06     0.0000000000E+00
    0.0000000000E+00    -5.6336014366E-07
    9.0050414000E-08     0.0000000000E+00
    0.0000000000E+00     1.4974394867E-08
   -2.5841348418E-09     0.0000000000E+00
    0.0000000000E+00    -4.6185487668E-10
    8.5346716659E-11     0.0000000000E+00
    0.0000000000E+00     1.6283092665E-11
   -3.2034937418E-12     0.0000000000E+00
    0.0000000000E+00    -6.4921448135E-13
    1.3540354844E-13     0.0000000000E+00
    0.0000000000E+00     2.9040127113E-14
   -6.4000523383E-15     0.0000000000E+00
    0.0000000000E+00    -1.4484672230E-15
    3.3645396646E-16     0.0000000000E+00
    0.0000000000E+00     8.0169511117E-17
   -1.9586338217E-17     0.0000000000E+00
    0.0000000000E+00    -4.9041856983E-18
    1.2579745842E-18     0.0000000000E+00
    0.0000000000E+00     3.3044528581E-19
