#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     1.0000000000E+00
   -1.0254647909E+00     0.0000000000E+00
    0.0000000000E+00     1.9684517205E-01
   -3.8872944851E+00     0.0000000000E+00
    0.0000000000E+00    -2.6816475120E+01
    1.0006606303E+02     0.0000000000E+00
    0.0000000000E+00     7.1984049200E+02
   -3.0993900165E+03     0.0000000000E+00
    0.0000000000E+00    -3.4287192182E+04
    1.7283838032E+05     0.0000000000E+00
    0.0000000000E+00     2.8020980399E+06
   -1.5646818981E+07     0.0000000000E+00
    0.0000000000E+00    -3.4811840952E+08
    2.0739160328E+09     0.0000000000E+00
    0.0000000000E+00     6.0758786186E+10
   -3.7666999894E+11     0.0000000000E+00
    0.0000000000E+00    -1.4141601565E+13
    8.9554355734E+13     0.0000000000E+00
