#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     1.0000000000E+00
   -1.6374336873E+00     0.0000000000E+00
    0.0000000000E+00    -2.9123010618E+00
    9.8632871012E+00     0.0000000000E+00
    0.0000000000E+00     3.2567761761E+01
   -2.0294347154E+02     0.0000000000E+00
    0.0000000000E+00    -1.0083519226E+03
    9.0679864967E+03     0.0000000000E+00
    0.0000000000E+00     5.9304011382E+04
   -6.9153660168E+05     0.0000000000E+00
    0.0000000000E+00    -5.5902116217E+06
    7.9977385310E+07     0.0000000000E+00
    0.0000000000E+00     7.6929944054E+08
   -1.3035476273E+10     0.0000000000E+00
    0.0000000000E+00    -1.4534743611E+11
    2.8457056315E+12     0.0000000000E+00
    0.0000000000E+00     3.6080861710E+13
   -8.0137212851E+14     0.0000000000E+00
