#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     1.0000000000E+00
   -1.1273239545E+00     0.0000000000E+00
    0.0000000000E+00    -1.0873231869E-01
   -3.0257323750E+00     0.0000000000E+00
    0.0000000000E+00    -2.5842758992E+01
    9.9621313827E+01     0.0000000000E+00
    0.0000000000E+00     7.5941793222E+02
   -3.2868844410E+03     0.0000000000E+00
    0.0000000000E+00    -3.7026170241E+04
    1.8587749872E+05     0.0000000000E+00
    0.0000000000E+00     3.0366988676E+06
   -1.6864836276E+07     0.0000000000E+00
    0.0000000000E+00    -3.7733576190E+08
    2.2358401783E+09     0.0000000000E+00
    0.0000000000E+00     6.5834006814E+10
   -4.0598803415E+11     0.0000000000E+00
    0.0000000000E+00    -1.5315545374E+13
    9.6490242001E+13     0.0000000000E+00
