#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     1.0000000000E+00
   -1.6548691039E+00     0.0000000000E+00
    0.0000000000E+00    -2.9646073118E+00
    1.0036068485E+01     0.0000000000E+00
    0.0000000000E+00     3.3082960347E+01
   -2.0555982952E+02     0.0000000000E+00
    0.0000000000E+00    -1.0204300316E+03
    9.1681020369E+03     0.0000000000E+00
    0.0000000000E+00     5.9943102772E+04
   -6.9871525792E+05     0.0000000000E+00
    0.0000000000E+00    -5.6475801841E+06
    8.0779889865E+07     0.0000000000E+00
    0.0000000000E+00     7.7696545645E+08
   -1.3163407160E+10     0.0000000000E+00
    0.0000000000E+00    -1.4676723636E+11
    2.8731970877E+12     0.0000000000E+00
    0.0000000000E+00     3.6428253724E+13
   -8.0902311046E+14     0.0000000000E+00
