#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     1.0000000000E-02
   -6.4661977237E-03     0.0000000000E+00
    0.0000000000E+00    -1.9071269217E-04
    1.2663744897E-04     0.0000000000E+00
    0.0000000000E+00     6.1228368991E-06
   -4.1735770159E-06     0.0000000000E+00
    0.0000000000E+00    -2.7798766909E-07
    1.9444980917E-07     0.0000000000E+00
    0.0000000000E+00     1.6392354475E-08
   -1.1762925494E-08     0.0000000000E+00
    0.0000000000E+00    -1.1935273979E-09
    8.7836746022E-10     0.0000000000E+00
    0.0000000000E+00     1.0375894682E-10
   -7.8294002682E-11     0.0000000000E+00
    0.0000000000E+00    -1.0515845273E-11
    8.1340413879E-12     0.0000000000E+00
    0.0000000000E+00     1.2204609911E-12
   -9.6751094207E-13     0.0000000000E+00
    0.0000000000E+00    -1.5996952970E-13
    1.2994498173E-13     0.0000000000E+00
    0.0000000000E+00     2.3419115523E-14
   -1.9490050718E-14     0.0000000000E+00
    0.0000000000E+00    -3.7948200682E-15
    3.2351394225E-15     0.0000000000E+00
    0.0000000000E+00     6.7550301704E-16
   -5.8984285288E-16     0.0000000000E+00
