#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     1.0000000000E-02
   -6.4666221029E-03     0.0000000000E+00
    0.0000000000E+00    -1.9199866309E-04
    1.2670535300E-04     0.0000000000E+00
    0.0000000000E+00     6.2075352082E-06
   -4.1793987893E-06     0.0000000000E+00
    0.0000000000E+00    -2.8390309904E-07
    1.9496056269E-07     0.0000000000E+00
    0.0000000000E+00     1.6869230169E-08
   -1.1812540401E-08     0.0000000000E+00
    0.0000000000E+00    -1.2380209264E-09
    8.8377509707E-10     0.0000000000E+00
    0.0000000000E+00     1.0851664621E-10
   -7.8954127029E-11     0.0000000000E+00
    0.0000000000E+00    -1.1092388212E-11
    8.2237814980E-12     0.0000000000E+00
    0.0000000000E+00     1.2988263044E-12
   -9.8100908456E-13     0.0000000000E+00
    0.0000000000E+00    -1.7181000019E-13
    1.3217736649E-13     0.0000000000E+00
    0.0000000000E+00     2.5392466798E-14
   -1.9893677856E-14     0.0000000000E+00
    0.0000000000E+00    -4.1551784029E-15
    3.3145117267E-15     0.0000000000E+00
    0.0000000000E+00     7.4719231411E-16
   -6.0674087910E-16     0.0000000000E+00
