#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     1.0000000000E-02
   -1.3732395447E-03     0.0000000000E+00
    0.0000000000E+00    -3.7923946797E-05
    5.8410788688E-06     0.0000000000E+00
    0.0000000000E+00     2.4972311526E-07
   -4.2925940367E-08     0.0000000000E+00
    0.0000000000E+00    -2.4008708182E-09
    4.5935639131E-10     0.0000000000E+00
    0.0000000000E+00     3.0975092093E-11
   -6.5921081481E-12     0.0000000000E+00
    0.0000000000E+00    -5.1005686727E-13
    1.2088545177E-13     0.0000000000E+00
    0.0000000000E+00     1.0366535016E-14
   -2.7442750891E-15     0.0000000000E+00
    0.0000000000E+00    -2.5377321795E-16
    7.5409260479E-17     0.0000000000E+00
    0.0000000000E+00     7.3396605559E-18
   -2.4663927604E-18     0.0000000000E+00
    0.0000000000E+00    -2.4667122708E-19
    9.4771125776E-20     0.0000000000E+00
    0.0000000000E+00     9.4828265013E-21
   -4.2343986673E-21     0.0000000000E+00
    0.0000000000E+00    -4.1006941554E-22
    2.1820575030E-22     0.0000000000E+00
    0.0000000000E+00     1.9542043447E-23
   -1.2885855145E-23     0.0000000000E+00
