#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     1.0000000000E-02
   -1.3753573964E-03     0.0000000000E+00
    0.0000000000E+00    -3.9260721892E-05
    5.9120057253E-06     0.0000000000E+00
    0.0000000000E+00     2.6969313834E-07
   -4.4246848844E-08     0.0000000000E+00
    0.0000000000E+00    -2.7269310268E-09
    4.8550260981E-10     0.0000000000E+00
    0.0000000000E+00     3.7326885635E-11
   -7.1881050179E-12     0.0000000000E+00
    0.0000000000E+00    -6.5844128186E-13
    1.3675744374E-13     0.0000000000E+00
    0.0000000000E+00     1.4490069954E-14
   -3.2375800611E-15     0.0000000000E+00
    0.0000000000E+00    -3.8872965638E-16
    9.3209466404E-17     0.0000000000E+00
    0.0000000000E+00     1.2493371902E-17
   -3.2077066422E-18     0.0000000000E+00
    0.0000000000E+00    -4.7451649327E-19
    1.3021667705E-19     0.0000000000E+00
    0.0000000000E+00     2.1071263183E-20
   -6.1719133198E-21     0.0000000000E+00
    0.0000000000E+00    -1.0847767955E-21
    3.3885606343E-22     0.0000000000E+00
    0.0000000000E+00     6.4322649457E-23
   -2.1416418760E-23     0.0000000000E+00
