#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     1.0000000000E-01
   -1.1273239545E-02     0.0000000000E+00
    0.0000000000E+00    -1.2546479089E-03
    1.5579299860E-04     0.0000000000E+00
    0.0000000000E+00     8.2640903797E-06
    1.4922047453E-06     0.0000000000E+00
    0.0000000000E+00     5.0784768575E-06
   -2.6437398369E-06     0.0000000000E+00
    0.0000000000E+00    -3.5312238006E-06
    2.2270823343E-06     0.0000000000E+00
    0.0000000000E+00     3.3677773329E-06
   -2.5934464219E-06     0.0000000000E+00
    0.0000000000E+00    -4.5619123105E-06
    4.1632744785E-06     0.0000000000E+00
    0.0000000000E+00     8.4196034631E-06
   -8.8881622455E-06     0.0000000000E+00
    0.0000000000E+00    -2.0376024480E-05
    2.4423906770E-05     0.0000000000E+00
    0.0000000000E+00     6.2678510955E-05
   -8.4082738438E-05     0.0000000000E+00
