#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     1.0000000000E-01
   -1.1457775330E-02     0.0000000000E+00
    0.0000000000E+00    -1.4373325990E-03
    2.3832806468E-04     0.0000000000E+00
    0.0000000000E+00     5.0008525739E-05
   -1.9739547103E-05     0.0000000000E+00
    0.0000000000E+00    -8.4328435537E-06
    6.5524330696E-06     0.0000000000E+00
    0.0000000000E+00     4.1021860300E-06
   -4.4563360839E-06     0.0000000000E+00
    0.0000000000E+00    -3.5227511687E-06
    4.7994664516E-06     0.0000000000E+00
    0.0000000000E+00     4.5455060789E-06
   -7.4097968595E-06     0.0000000000E+00
    0.0000000000E+00    -8.1618682605E-06
    1.5468323800E-05     0.0000000000E+00
    0.0000000000E+00     1.9414048972E-05
   -4.1919388116E-05     0.0000000000E+00
    0.0000000000E+00    -5.9034261129E-05
    1.4302814738E-04     0.0000000000E+00
