#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     1.0000000000E-01
   -1.3732395447E-01     0.0000000000E+00
    0.0000000000E+00    -2.6464790895E-02
    5.3827126327E-02     0.0000000000E+00
    0.0000000000E+00     7.8610467824E-03
   -3.4722475306E-02     0.0000000000E+00
    0.0000000000E+00     2.8769911826E-03
    3.2591679074E-02     0.0000000000E+00
    0.0000000000E+00    -1.8178959733E-02
   -4.4089105041E-02     0.0000000000E+00
    0.0000000000E+00     5.5481627737E-02
    8.8001083335E-02     0.0000000000E+00
    0.0000000000E+00    -1.7156804321E-01
   -2.5390560209E-01     0.0000000000E+00
    0.0000000000E+00     6.0038299782E-01
    9.8141857762E-01     0.0000000000E+00
    0.0000000000E+00    -2.4684878789E+00
   -4.7103140444E+00     0.0000000000E+00
    0.0000000000E+00     1.2080033243E+01
    2.6807556795E+01     0.0000000000E+00
    0.0000000000E+00    -7.0286708859E+01
   -1.7689811054E+02     0.0000000000E+00
    0.0000000000E+00     4.8165457193E+02
    1.3387698967E+03     0.0000000000E+00
