#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     1.0000000000E-01
   -1.5577753300E-01     0.0000000000E+00
    0.0000000000E+00    -4.4733259901E-02
    7.7048541179E-02     0.0000000000E+00
    0.0000000000E+00     3.5568719929E-02
   -6.7436998553E-02     0.0000000000E+00
    0.0000000000E+00    -4.2308713616E-02
    8.7952328043E-02     0.0000000000E+00
    0.0000000000E+00     6.9236376711E-02
   -1.5723625290E-01     0.0000000000E+00
    0.0000000000E+00    -1.4829342102E-01
    3.6661401081E-01     0.0000000000E+00
    0.0000000000E+00     4.0201902611E-01
   -1.0781719587E+00     0.0000000000E+00
    0.0000000000E+00    -1.3461347628E+00
    3.9027771564E+00     0.0000000000E+00
    0.0000000000E+00     5.4625961134E+00
   -1.7061811346E+01     0.0000000000E+00
    0.0000000000E+00    -2.6452642850E+01
    8.8706077915E+01     0.0000000000E+00
    0.0000000000E+00     1.5088801040E+02
   -5.4144130938E+02     0.0000000000E+00
    0.0000000000E+00    -1.0025226091E+03
    3.8371536911E+03     0.0000000000E+00
