#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00    -2.1272530681E-01
   -4.5575923026E-02     0.0000000000E+00
    0.0000000000E+00     9.8649992842E-03
    2.1703110604E-03     0.0000000000E+00
    0.0000000000E+00    -4.9083807064E-04
   -1.1654051807E-04     0.0000000000E+00
    0.0000000000E+00     3.0123493815E-05
    8.9319848524E-06     0.0000000000E+00
    0.0000000000E+00    -3.1973540955E-06
   -1.4060401213E-06     0.0000000000E+00
    0.0000000000E+00     7.4058812564E-07
    4.4838475846E-07     0.0000000000E+00
    0.0000000000E+00    -3.0201349038E-07
   -2.2185730102E-07     0.0000000000E+00
    0.0000000000E+00     1.7571859093E-07
    1.4898177242E-07     0.0000000000E+00
    0.0000000000E+00    -1.3451544151E-07
   -1.2880608003E-07     0.0000000000E+00
    0.0000000000E+00     1.3034653080E-07
    1.3897246492E-07     0.0000000000E+00
