#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     1.0000000000E+00
   -1.6548691039E+00     0.0000000000E+00
    0.0000000000E+00    -2.9646073118E+00
    1.0036068485E+01     0.0000000000E+00
    0.0000000000E+00     3.3082960347E+01
   -2.0555982952E+02     0.0000000000E+00
    0.0000000000E+00    -1.0204300316E+03
    9.1681020369E+03     0.0000000000E+00
    0.0000000000E+00     5.9943102772E+04
   -6.9871525792E+05     0.0000000000E+00
    0.0000000000E+00    -5.6475801841E+06
    8.0779889865E+07     0.0000000000E+00
    0.0000000000E+00     7.7696545645E+08
   -1.3163407160E+10     0.0000000000E+00
    0.0000000000E+00    -1.4676723636E+11
    2.8731970877E+12     0.0000000000E+00
    0.0000000000E+00     3.6428253723E+13
   -8.0902311044E+14     0.0000000000E+00
    0.0000000000E+00    -1.1493152489E+16
    2.8548186232E+17     0.0000000000E+00
    0.0000000000E+00     4.4914317522E+18
   -1.2337483616E+20     0.0000000000E+00
    0.0000000000E+00    -2.1292934056E+21
    6.4087184226E+22     0.0000000000E+00
    0.0000000000E+00     1.2038242302E+24
   -3.9396693720E+25     0.0000000000E+00
    0.0000000000E+00    -8.0011646073E+26
