#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     1.0000000000E-02
   -1.3753573964E-03     0.0000000000E+00
    0.0000000000E+00    -3.9260721892E-05
    5.9120057253E-06     0.0000000000E+00
    0.0000000000E+00     2.6969313834E-07
   -4.4246848844E-08     0.0000000000E+00
    0.0000000000E+00    -2.7269310268E-09
    4.8550260981E-10     0.0000000000E+00
    0.0000000000E+00     3.7326885635E-11
   -7.1881050179E-12     0.0000000000E+00
    0.0000000000E+00    -6.5844128186E-13
    1.3676826788E-13     0.0000000000E+00
    0.0000000000E+00     1.4491477092E-14
   -3.2390543599E-15     0.0000000000E+00
    0.0000000000E+00    -3.8894095123E-16
    9.3343507702E-17     0.0000000000E+00
    0.0000000000E+00     1.2514261044E-17
   -3.2181791541E-18     0.0000000000E+00
    0.0000000000E+00    -4.7627244403E-19
    1.3098549589E-19     0.0000000000E+00
    0.0000000000E+00     2.1208781382E-20
   -6.2271637269E-21     0.0000000000E+00
    0.0000000000E+00    -1.0952447171E-21
    3.4282714672E-22     0.0000000000E+00
    0.0000000000E+00     6.5114884620E-23
