#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     0.0000000000E+00
   -1.4577753300E+00     0.0000000000E+00
    0.0000000000E+00     0.0000000000E+00
    1.2281723882E+01     0.0000000000E+00
    0.0000000000E+00    -1.4210854715E-14
   -2.6368969425E+02     0.0000000000E+00
    0.0000000000E+00    -6.8212102633E-13
    1.1492587869E+04     0.0000000000E+00
    0.0000000000E+00     8.7311491370E-10
   -8.6157703168E+05     0.0000000000E+00
    0.0000000000E+00    -2.0157312974E-06
    9.8761493388E+07     0.0000000000E+00
    0.0000000000E+00     1.1234283447E-03
   -1.6014720895E+10     0.0000000000E+00
    0.0000000000E+00    -9.1552734375E-02
    3.4838016343E+12     0.0000000000E+00
    0.0000000000E+00    -3.4922656250E+02
   -9.7837458340E+14     0.0000000000E+00
    0.0000000000E+00    -1.1422240000E+06
    3.4447831393E+17     0.0000000000E+00
    0.0000000000E+00     3.9929774080E+09
   -1.4858430205E+20     0.0000000000E+00
    0.0000000000E+00     7.8528779387E+12
    7.7050265359E+22     0.0000000000E+00
    0.0000000000E+00     7.7647167556E+15
   -4.7292763515E+25     0.0000000000E+00
    0.0000000000E+00     1.4754355329E+19
