#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     2.0000000000E-01
   -4.0035058338E-02     0.0000000000E+00
    0.0000000000E+00    -8.0210350029E-03
    1.6084368201E-03     0.0000000000E+00
    0.0000000000E+00     3.2282748596E-04
   -6.4855140367E-05     0.0000000000E+00
    0.0000000000E+00    -1.3042049795E-05
    2.6254352503E-06     0.0000000000E+00
    0.0000000000E+00     5.2910819397E-07
   -1.0676222923E-07     0.0000000000E+00
    0.0000000000E+00    -2.1571148594E-08
    4.3649217177E-09     0.0000000000E+00
    0.0000000000E+00     8.8472396898E-10
   -1.7966659111E-10     0.0000000000E+00
    0.0000000000E+00    -3.6566191901E-11
    7.4610688780E-12     0.0000000000E+00
    0.0000000000E+00     1.5269593625E-12
   -3.1362220877E-13     0.0000000000E+00
    0.0000000000E+00    -6.4692369042E-14
    1.3414208076E-14     0.0000000000E+00
    0.0000000000E+00     2.7993005669E-15
   -5.8877515430E-16     0.0000000000E+00
