#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     1.0000000000E-02
   -6.6486910395E-03     0.0000000000E+00
    0.0000000000E+00    -1.9746073118E-04
    5.1462460077E-04     0.0000000000E+00
    0.0000000000E+00     2.5599856218E-05
   -1.1890099643E-04     0.0000000000E+00
    0.0000000000E+00    -8.2872667038E-06
    5.5166476326E-05     0.0000000000E+00
    0.0000000000E+00     4.9451106072E-06
   -4.2851523921E-05     0.0000000000E+00
    0.0000000000E+00    -4.6955501267E-06
    5.0116292786E-05     0.0000000000E+00
    0.0000000000E+00     6.4907200373E-06
   -8.2305316666E-05     0.0000000000E+00
    0.0000000000E+00    -1.2300396606E-05
    1.8066289203E-04     0.0000000000E+00
    0.0000000000E+00     3.0601250349E-05
   -5.1087412638E-04     0.0000000000E+00
    0.0000000000E+00    -9.6717483745E-05
    1.8087578924E-03     0.0000000000E+00
    0.0000000000E+00     3.7848608513E-04
   -7.8378077249E-03     0.0000000000E+00
    0.0000000000E+00    -1.7963165405E-03
    4.0803559991E-02     0.0000000000E+00
    0.0000000000E+00     1.0164988605E-02
   -2.5129801756E-01     0.0000000000E+00
    0.0000000000E+00    -6.7612808021E-02
