#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     1.0000000000E-01
   -1.1275357396E-02     0.0000000000E+00
    0.0000000000E+00    -1.3826072189E-03
    1.8165823507E-04     0.0000000000E+00
    0.0000000000E+00     2.5321969608E-05
   -3.7199041460E-06     0.0000000000E+00
    0.0000000000E+00    -5.7305729912E-07
    9.2225459279E-08     0.0000000000E+00
    0.0000000000E+00     1.5459073305E-08
   -2.6924155714E-09     0.0000000000E+00
    0.0000000000E+00    -4.8624841969E-10
    9.0909256444E-11     0.0000000000E+00
    0.0000000000E+00     1.7570366748E-11
   -3.5063592849E-12     0.0000000000E+00
    0.0000000000E+00    -7.2175245540E-13
    1.5310530727E-13     0.0000000000E+00
    0.0000000000E+00     3.3444588593E-14
   -7.5179597768E-15     0.0000000000E+00
    0.0000000000E+00    -1.7380085273E-15
    4.1299963638E-16     0.0000000000E+00
    0.0000000000E+00     1.0082904958E-16
   -2.5279769667E-17     0.0000000000E+00
