#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     1.0000000000E-01
   -1.6374336873E-02     0.0000000000E+00
    0.0000000000E+00    -2.9123010618E-03
    9.8632871012E-04     0.0000000000E+00
    0.0000000000E+00     3.2567761761E-04
   -2.0294347154E-04     0.0000000000E+00
    0.0000000000E+00    -1.0083519226E-04
    9.0679864967E-05     0.0000000000E+00
    0.0000000000E+00     5.9304011382E-05
   -6.9153660168E-05     0.0000000000E+00
    0.0000000000E+00    -5.5902116217E-05
    7.9977385310E-05     0.0000000000E+00
    0.0000000000E+00     7.6929944054E-05
   -1.3035476274E-04     0.0000000000E+00
    0.0000000000E+00    -1.4534743613E-04
    2.8457056317E-04     0.0000000000E+00
    0.0000000000E+00     3.6080861712E-04
   -8.0137212854E-04     0.0000000000E+00
    0.0000000000E+00    -1.1384735494E-03
    2.8280649248E-03     0.0000000000E+00
    0.0000000000E+00     4.4494239759E-03
   -1.2222703498E-02     0.0000000000E+00
    0.0000000000E+00    -2.1095153679E-02
    6.3494508005E-02     0.0000000000E+00
    0.0000000000E+00     1.1927059324E-01
   -3.9034167246E-01     0.0000000000E+00
    0.0000000000E+00    -7.9276184614E-01
